Instancename,Availabilityzone,Spotprice,LowestPrice
t2.micro,ap-south-1b,0.003700,"('ap-south-1b', '0.003700')"
t2.micro,ap-south-1a,0.003700,"('ap-south-1b', '0.003700')"
t2.micro,ap-south-1b,0.003700,"('ap-south-1b', '0.003700')"
